t, ekin, erot, evib_1, evib_2, evib_3, evib_4
9.329329329329329e-06, 1.2340917156781945e-19, 1.234164546814148e-19, 5.67030443384376e-20, 1.3604838135205548e-19, 1.6777893418332996e-19, 2.0964834097233324e-19
9.33933933933934e-06, 1.234090786216468e-19, 1.2341632246391558e-19, 5.670287351166032e-20, 1.3604786682699407e-19, 1.6777870184793447e-19, 2.0964948382323933e-19
9.34934934934935e-06, 1.2340898615132522e-19, 1.2341619095937693e-19, 5.67027036957296e-20, 1.360473546741836e-19, 1.6777846975972333e-19, 2.096506218550519e-19
9.359359359359359e-06, 1.234088941541946e-19, 1.2341606016349394e-19, 5.670253488423288e-20, 1.36046844883063e-19, 1.6777823792170753e-19, 2.0965175508869852e-19
9.36936936936937e-06, 1.2340880262761174e-19, 1.2341593007199151e-19, 5.670236707080039e-20, 1.360463374431139e-19, 1.6777800633686133e-19, 2.0965288354501164e-19
9.37937937937938e-06, 1.2340871156894952e-19, 1.2341580068062418e-19, 5.670220024910479e-20, 1.3604583234386048e-19, 1.6777777500812256e-19, 2.0965400724472898e-19
9.38938938938939e-06, 1.2340862097559745e-19, 1.2341567198517586e-19, 5.670203441286097e-20, 1.3604532957486942e-19, 1.677775439383928e-19, 2.0965512620849398e-19
9.3993993993994e-06, 1.234085308449612e-19, 1.2341554398145967e-19, 5.670186955582569e-20, 1.3604482912574968e-19, 1.6777731313053792e-19, 2.0965624045685634e-19
9.409409409409409e-06, 1.234084411744627e-19, 1.2341541666531757e-19, 5.670170567179733e-20, 1.360443309861525e-19, 1.6777708258738811e-19, 2.096573500102724e-19
9.41941941941942e-06, 1.2340835196153952e-19, 1.234152900326203e-19, 5.67015427546156e-20, 1.360438351457711e-19, 1.6777685231173842e-19, 2.0965845488910562e-19
9.42942942942943e-06, 1.2340826320364575e-19, 1.2341516407926696e-19, 5.670138079816126e-20, 1.3604334159434072e-19, 1.6777662230634891e-19, 2.0965955511362704e-19
9.43943943943944e-06, 1.2340817489825067e-19, 1.2341503880118493e-19, 5.670121979635581e-20, 1.3604285032163838e-19, 1.6777639257394503e-19, 2.0966065070401575e-19
9.44944944944945e-06, 1.2340808704283967e-19, 1.234149141943296e-19, 5.670105974316126e-20, 1.3604236131748284e-19, 1.6777616311721784e-19, 2.0966174168035928e-19
9.459459459459459e-06, 1.2340799963491378e-19, 1.2341479025468412e-19, 5.670090063257983e-20, 1.360418745717344e-19, 1.6777593393882439e-19, 2.0966282806265408e-19
9.46946946946947e-06, 1.2340791267198886e-19, 1.234146669782592e-19, 5.670074245865367e-20, 1.3604139007429478e-19, 1.6777570504138793e-19, 2.0966390987080603e-19
